ທະວີບອາຟະລິກ	アフリカ
ປະເທດແອສະໂຕນີ	エストニア
ຍົນ	飛行機
ຮູບສີ່ແຈສາກ	長方形
ມຸມສາກ	直角
ປະເທດແລດໂຕນີ	ラトビア
ປະເທດອູກະແລນ	ウクライナ
ສາທາລະນະລັດແຊັກ	チェコ
ປະເທດສະໂລວາກີ	スロバキア
ປະເທດສະໂລເວນີ	スロベニア
ປະເທດລູມານີ	ルーマニア
ປະເທດບູນກາລີ	ブルガリア
ປະເທດມາເຊດວນ	マケドニア共和国
ປະເທດກະໂລອາຊີ	クロアチア
ປະເທດບົດສະນີແຮກເຊໂກວີນ	ボスニア・ヘルツェゴビナ
ປະເທດອາແຊກບາຍຊັງ	アゼルバイジャン
ປະເທດອັງດອກ	アンドラ
ປະເທດຊີບ	キプロス
ປະເທດເຊອັອກຊີ	グルジア
ປະເທດມານ	マルタ
ປະເທດໂມນາໂກ	モナコ
ປະເທດແຊັງມາແລງ	サンマリノ
ຫໍແອບແຟນ	エッフェル塔
ຄີບອດ	キーボード (コンピュータ)
ປະເທດອິນໂດເນເຊຍ	インドネシア
ໂທລະພາບ	テレビ
ປະເທດຈີເລ	チリ
ພຣະເຢຊູ	イエス・キリスト
ປະຫວັດສາດ	歴史
ພາສາ	言語
ລະບອບຜະເດັດການ	独裁政治
ບິກແບງ	ビッグバン
ດາຣາສາດ	天文学
ປະເທດສິງກະໂປ	シンガポール
ວິທະຍາສາດ	科学
ມົງເລອານ	モントリオール
ປະເທດລິກເຕນສະຕາຍ	リヒテンシュタイン
ກິລາ	スポーツ
ອາໂດນ ຮິດແລ	アドルフ・ヒトラー
ເຟດບຸກ	Facebook
ສົງຄາມໂລກຄັ້ງທີສອງ	第二次世界大戦
ໂມງ	時計
ອຸບຸນຕູ	Ubuntu
ລິນຸກຊ໌	Linux
ຄະນິດສາດ	数学
ພາສາລາແຕັງ	ラテン語
ປະເທດອາກເມນີ	アルメニア
ປະເທດແຊກບີ	セルビア
ດວງຈັນ	月
ປະເທດອົດສະຕະຣາລີ	オーストラリア
ວັດຖຸວິທະຍາ	物理学
ປະເທດອາກຊັງຕິນ	アルゼンチン
ໂທລະຄົມມະນາຄົມ	電気通信
ປະເທດເປຣູ	ペルー
ຊີວະສາດ	生物学
ປະເທດກຳປູເຈຍ	カンボジア
ໄດໂນເສົາ	恐竜
ສາສະໜາອິສະລາມ	イスラム教
ຈິດ	心
ສັນຕິພາບ	平和
ກາບກອນ	詩
ຈັກກະພັດນາໂປເລອົງທີ 1	ナポレオン・ボナパルト
ປີແສງ	光年
ໂອເຊອານີ	オセアニア
ລະບົບສຸລິຍະ	太陽系
ປຶ້ມ	本
ມື້	日
ປີ	年
ອົກຊີແຊນ	酸素
ດົນຕີ	音楽
ພາສາອິຕາລີ	イタリア語
ອາລູມິນຽມ	アルミニウム
ປະເທດນູແວນເຊລັງ	ニュージーランド
ປະເທດປາປົວຊີນູແວນກີເນ	パプアニューギニア
ປະເທດເວເນຊູເອລາ	ベネズエラ
ສັດ	動物
ປະເທດຊູຣີນາມ	スリナム
ປະເທດປາຣາກວາຍ	パラグアイ
ປະເທດກຸຍຢານ	ガイアナ
ສິລະປະ	芸術
ປະເທດເອກົວເຕີ	エクアドル
ປະເທດໂກລົມບີ	コロンビア
ພຸດທະສາສະໜາ	仏教
ປະເທດໂບລີວີ	ボリビア
ປະເທດກົວເຕມາລາ	グアテマラ
ປະເທດອີຣານ	イラン
ປະເທດກົດສະຕາລິກາ	コスタリカ
ປະເທດລາວ	ラオス
ທະວີບອາເມລິກາ	アメリカ州
ງົວ	ウシ
ປະເທດມາເລເຊຍ	マレーシア
ປະເທດມຽນມາ	ミャンマー
ປະລາຕົງ	プラトン
ຢູທູບ	YouTube
ປະເທດໄທ	タイ王国
ລົດໄຟ	列車
ປະເທດຫວຽດນາມ	ベトナム
ປະເທດເກົາຫຼີໃຕ້	大韓民国
ປະເທດບັງກະລາເທດ	バングラデシュ
ປະເທດອັງໂກລາ	アンゴラ
ທະວິດເຕີ	Twitter
ປະເທດບູໄນ	ブルネイ
ປະເທດຟີລິບປິນ	フィリピン
ປັກກິ່ງ	北京市
ວິວັດທະນາການ	進化
ສະຫະປະຊາຊາດ	国際連合
ທໍລະນີສາດ	地質学
ພູມສາດ	地理学
ສີ	色
ຄຳນາມ	名詞
ປະເທດໂກໂຊໂວ	コソボ
ໝວດ:ມູນຖານ	Category:主要カテゴリ
ລະດູໜາວ	冬
ລະດູບານໃໝ່	春
ລະດູຮ້ອນ	夏
ລະດູໃບໄມ້ຫຼົ່ນ	秋
ພາສາແອສະປາໂຍນ	スペイン語
ໝາກໄມ້	果実
ເງິນ	貨幣
ລັດນີວຢອກ	ニューヨーク州
Uetersen	ユーテルゼン
Microsoft Windows	Microsoft Windows
ໄທບີຣຽສ	ティベリウス
ລົດ	自動車
ບອກໂດ	ボルドー
ໂຕກຽວ	東京都
ບາກເຊໂລນ	バルセロナ
ໝາກນັດ	パイナップル
ກາໂຕລິກ	カトリシズム
ພະຄຳພີ	聖書
ພະນົມເປັນ	プノンペン
ນິກາຍໂບດທູຈີຊັດ	真イエス教会
ພາສາອັງກິດ	英語
ບາງກອກ	バンコク
ດົງເຮີຍ	ドンホイ
ໂກຣິສໂກໂວລາ	コィンスコヴォラ
ປີ 2009	2009年
ປີ 2008	2008年
ອາຫານ	食品
XML	Extensible Markup Language
ການປະຕິວັດອຸດສາຫະກຳ	産業革命
ໄມໂຄຼຊອຟທ໌	マイクロソフト
ຄູໂຣ	クルフ
ເຄມີສາດ	化学
14 ກຸມພາ	2月14日
22 ມີນາ	3月22日
16 ເມສາ	4月16日
ອາໂນນ ຊວາເຊເນກເກີ	アーノルド・シュワルツェネッガー
19 ກໍລະກົດ	7月19日
ເຕະບານ	サッカー
ໄອໂຟນ	IPhone
ເຮືອດຳນ້ຳ	潜水艦
ໄມເຄິ້ນ ແຈັກຊັ້ນ	マイケル・ジャクソン
ພະລາຊະວັງແວກໄຊ	ヴェルサイユ宮殿
ມະຫາວິຫານນົດ-ດາມ	ノートルダム大聖堂 (パリ)
ໝວດ:ແມ່ແບບ	Category:ウィキペディアのテンプレート
ແມ່ນ້ຳອາມາຊົນ	アマゾン川
ໂຮງຮຽນ	学校
ມະຫາວິທະຍາໄລ	大学
ວິກິພີເດຍ:Sandbox	Wikipedia:サンドボックス
ວິກິພີເດຍ:ເລີ່ມຕົ້ນ	Wikipedia:ウィキペディアへようこそ
ເຮືອນ	家屋
ທະວີບອົດສະຕະຣາລີ	オーストラリア大陸
ຮາດແວ	ハードウェア
ພຶດຊະຄະນິດ	代数学
ສະໜາມບິນດົງເຮີຍ	ドンホイ空港
ອາວະກາດ	宇宙空間
ປ່າໄມ້	森林
ຂົງຈື້	孔子
ມາຣິລິນ ມອນໂຣ	マリリン・モンロー
ໝວດ:ຄະນິດສາດ	Category:数学
ເອີໂລ	ユーロ
ທະເລເມດີແຕກລາເນ	地中海
ຄິດຕະສາສະໜາ	キリスト教
Windows 8	Microsoft Windows 8
ເຂົ້າຈ້າວ	米
ທະວີບ	大陸
ສັດປີກ	鳥類
ນະຄອນຫຼວງ	首都
ພາສາປອກຕຸຍການ	ポルトガル語
ເດືອນ	月 (暦)
1949	1949年
ຕາກດີກະລາດາ	緩歩動物
ພາສາຍີ່ປຸ່ນ	日本語
ໜ້າຈໍ	ディスプレイ (コンピュータ)
ສາລານຸກົມ	百科事典
ໜ້າຫຼັກ	メインページ
ຊີພີຢູ	CPU
ເຣົາເຕີຣ໌	ルーター
ໂຕຕ້ານໄຟຟ້າ	抵抗器
ທຣານຊິສເຕີ	トランジスタ
ເບດບອນ	野球
ບານບ້ວງ	バスケットボール
ກິລາໂອແລມປິກ	近代オリンピック
ລົດເມ	バス (交通機関)
ແຄວ້ນກາຕາໂລຍ	カタルーニャ州
ການຮ່ວມເພດ	性行為
ປັດຊະຍາ	哲学
ຈິມິ ເຮນດຣິກຊ໌	ジミ・ヘンドリックス
ໝວດ:Candidates for speedy deletion	Category:即時削除対象のページ
ອະນາທິປະໄຕ	アナキズム
ລັດທິທຶນນິຍົມ	資本主義
ປະເທດ	国
ເວັບເບຣົາວ໌ເຊີຣ໌	ウェブブラウザ
Boeing 737	ボーイング737
ໝວດ:ດາຣາສາດ	Category:天文学
ການປະຕິວັດຝະລັ່ງ	フランス革命
ຮັກຮ່ວມເພດ	同性愛
ອາຫານຝະລັ່ງ	フランス料理
ໂຮແມ	ホメーロス
ພາສາກາຕາລັງ	カタルーニャ語
ພຣະພຸດທະເຈົ້າ	仏陀
ອະເທວະນິຍົມ	無神論
ຫໍສະໝຸດ	図書館
ນິເວດສາດ	生態学
ການເມືອງ	政治
ລະບອບປະຊາທິປະໄຕ	民主主義
ໂລກາພິວັດ	グローバリゼーション
ແຊນ	遺伝子
ລັດຖະບານ	政府
ຄວາມສວຍງາມ	美
ລາຊາທິປະໄຕ	君主制
ລັດ	国家
ດັງ	鼻
ເພງ	歌
ເດິນຟິນ	イルカ
ສັດລ້ຽງລູກດ້ວຍນ້ຳນົມ	哺乳類
ໂລຊີຊີແອນ	ソフトウェア
ອາເດແອັນ	デオキシリボ核酸
ແອສະແປດ	種 (分類学)
ພາສາລັດເຊຍ	ロシア語
ກົດໝາຍ	法 (法学)
ລັດຖະທຳມະນູນ	コンスティチューション (法学)
ສະມາຄົມປະຊາຊາດແຫ່ງອາຊີຕາເວັນອອກສຽງໃຕ້	東南アジア諸国連合
ກອງທືນການເງີນລະຫວ່າງປະເທດ	国際通貨基金
ພາສາສະວາຮີລີ	スワヒリ語
ພາສາຈີນ	中国語
ທຳມະຊາດ	自然
ນ້ຳດື່ມ	飲料水
ພາສາລູມານີ	ルーマニア語
ສຶກສາສາດ	教育学
ແຮ່ທາດ	鉱物
ເຊັນ	禅
ເມົາສ໌	マウス (コンピュータ)
ປະໂລເຕອິນ	タンパク質
ພະຍຸໂທຣນາໂດ	竜巻
ໄຕມຸມ	三角法
ເລຂາຄະນິດ	幾何学
ໄວຍະກອນ	文法
ນິນເທັນໂດ	任天堂
ເສດຖະສາດ	経済学
ທຶນ	資本
ເງິນຕາ	通貨
ເຢນ	円 (通貨)
ອຸດສາຫະກຳ	産業
ພາສີ	租税
ພາສາສາດ	言語学
ຄຳ (ພາສາສາດ)	語
ໂຕໜັງສືເກຣັກ	ギリシア文字
ວັນນະຄະດີ	文学
ໝວດ:ປະເທດຝະລັ່ງ	Category:フランス
ໝວດ:ດົນຕີ	Category:音楽
ໝວດ:ວັນນະຄະດີ	Category:文学
ຂັ້ນຕອນວິທີ	アルゴリズム
ການສຶກສາ	教育
ຄອບຄົວ	家族
ກາເຟ	コーヒー
ນົມ	乳
ສົງຄາມເຢັນ	冷戦
ຊຽງໄຮ້	上海市
ອິນເຕີຣ໌ເນັຕ ໂປຣໂຕໂຄລ	Internet Protocol
ໄບຕ໌	バイト (情報)
ບິຕ	ビット
ຄວາມຮູ້	知識
ສາສະໜາພາມ	ヒンドゥー教
ປະລະມະນູ	原子
ພາສາກະເລັກ	ギリシア語
ລະບົບປະຕິບັດການ	オペレーティングシステム
ອີແມລ	電子メール
ສາສະໜາ	宗教
ພາສາເກົາຫຼີ	朝鮮語
ຕຶກແອັມພາຍສະເຕດ	エンパイア・ステート・ビルディング
ອະນຸສາວະລີເທພີເສລີພາບ	自由の女神像 (ニューヨーク)
ພາສາລາວ	ラーオ語
ພາສາໄທ	タイ語
ສາສະໜາຊູດາ	ユダヤ教
ພາສາການ	ウェールズ語
ສາສະໜາຊິກ	シク教
ຈອນ ເມນາດ ເຄນ	ジョン・メイナード・ケインズ
ວຽງຈັນ	ヴィエンチャン
ພຶຕິກຳ	行動
ອາລົມ	感情
ຈິຕະວິທະຍາ	心理学
ຄວາມຄຶດ	思考
ມະຫາສະໝຸດ	大洋
ຈະລິຍະທຳ	倫理学
ຍານວິທະຍາ	認識論
ເຈດຈຳນົງເສລີ	自由意志
ແກນກາງ	カーネル
ສົມເດັດພະລາຊິນີນາດເອລີຊາແບັດທີ 2 ແຫ່ງສະຫະລາຊະອານາຈັກ	エリザベス2世
ຄວາມທຸກຍາກ	貧困
ຕາລາງທາດ	周期表
ເດິນຟິນໜູ	ネズミイルカ科
ກົກໄມ້	木
ເນີຍແຂງ	チーズ
ຜັກ	野菜
ໂຣບົດ	ロボット
ເຕັກໂນໂລຊີ	テクノロジー
ກົນຈັກ	機械
ວິສະວະກຳ	工学
ສານສົນເທດ	情報
ໜັງສືພິມ	新聞
ໂທລະສັບ	電話機
ວັດທະນະທຳ	文化
ຫມາຍເລກໄອພີ	IPアドレス
ແພດສາດ	医学
ອົງກອນນິຕິບັນຍັດ	立法府
ຫ້ຽນ	荒らし
ສົມຜົນ	方程式
ຕຳລາ (ຄະນິດສາດ)	関数 (数学)
ກະລູຊິດ	炭水化物
ຮອກມົນ	ホルモン
ເກມ	ゲーム
ຂອງຫຼິ້ນ	玩具
ຮູບເງົາ	映画
ລົດຖີບ	自転車
ກຳປັ່ນ	船
ກະສິກຳ	農業
ລາຍຊື່ໜ່ວຍນັບເວລາ	時間
ເຈ້ຍ	紙
ປະລາສະຕິກ	合成樹脂
ເນື້ອທີ່	面積
ຈຳນວນ	数
ຈຳນວນສົນ	複素数
ແມັດ	メートル
ຈິຕະກຳ	絵画
ນັກອາວະກາດ	宇宙飛行士
ການຖ່າຍຮູບ	写真
ການຟ້ອນລຳ	ダンス
ເອເລັກໂຕຣນິກ	電子機器
ສ່ວນປະກອບເອເລັກໂຕຣນິກ	電子部品
ດີອົດ	ダイオード
ເຕັກໂນໂລຊີຂໍ້ມູນຂ່າວສານ	情報技術
ຕະຫລາດຫລັກຊັບ	証券取引所
ຮ້ານອາຫານ	レストラン
ອາຊີຕາເວັນອອກສຽງໃຕ້	東南アジア
ບະລັງແນດ	白雪姫
ຊັງດີຢົງ	シンデレラ
ປະຕິທິນ	暦
ເຂດເວລາ	時間帯 (標準時)
ສຸຂະພາບ	健康
ເອດສ໌	後天性免疫不全症候群
ສະຖາປັດຕະຍະກຳ	建築
ຂົວ	橋
ເຂົ້າໜົມມາກາຣົງ	マカロン
ສະຖິຕິສາດ	統計学
ຈຳນວນຖ້ວນ	整数
ເຂື່ອນສາມຜາ	三峡ダム
ຍຸກແສງສະຫວ່າງ	啓蒙時代
ສະໄໝກາງ	中世
ລວມຍອດຜະລິດຕະພັນພາຍໃນ	国内総生産
ແຟຊັ້ນ	ファッション
ລູກຄິດ	アバカス
ຄາບສະໝຸດອີເບລີ	イベリア半島
ຈຳນວນຈິງ	実数
ໝາກຟະແລດ	イチゴ
ໝາກກ້ຽງ	オレンジ
ພາສາຈ້ວງ	チワン語
ພາສານາວາເທິນ	ナワトル語
ສິ່ງແວດລ້ອມສໍາລັບການພັດທະນາແບບຮວບຮວມ	統合開発環境
ພາສາອາຣັບ	アラビア語
ພາສາອົກຊີຕັງ	オック語
ນາຍົກລັດຖະມົນຕີ	首相
ສໍດຳ	鉛筆
ໂຕະ	テーブル (家具)
ແທັງເກີ	タンカー
ກວາງຄໍຍາວ	キリン
ພາສາເຊ	C言語
ວິກິພີເດຍ:ບົດຄວາມດີເດັ່ນ	Wikipedia:秀逸な記事
ແມ່ແບບ:Link FA	Template:Link FA
ວິກິພີເດຍ:Village pump	Wikipedia:井戸端
ກວ່າງໂຈວ	広州市
ໂຮງໜໍ	病院
ການສົມລົດເພດດຽວກັນ	同性結婚
ໂທລະສັບມືຖື	携帯電話
ລົດສະນິຍົມທາງເພດ	性的指向
ງົວປ່າອາເມລິກາ	バイソン属
ບານເຕະໂລກ	FIFAワールドカップ
ຍາຈາງ	ニャチャン
ສາທາລະນະສົມບັດ	パブリックドメイン
ກຸ່ມພາສາໂລມັງ	ロマンス諸語
ຮູບສາມແຈ	三角形
ຈຳນວນທຳມະຊາດ	自然数
ສັດທະອັກສອນສາກົນ	国際音声記号
ສະມາດໂຟນ	スマートフォン
ພິກັດພູມສາດ	地理座標系
ເກີບ	靴
ເສລີພາບໃນການເວົ້າ	表現の自由
ສວນສາທາລະນະ	公園
ສັບປະດາ	週
ຜັກທຽມ	ニンニク
ມະນຸດສາດ	人類学
ເອແດມບວກ	エディンバラ
កោះ	島
ພາສາລັດຖະການ	公用語
ບູຮານວິທະຍາ	考古学
ອຸດທະຍານແຫ່ງຊາດຟົງ ງາ-ເຄ ບັງ	フォンニャ＝ケバン国立公園
ແຂວງກວາງບິນ	クアンビン省
ເສັ້ນສູນສູດ	赤道
ປະໂລແຕສະຕັງ	プロテスタント
ວັດຈະນານຸກົມ	辞典
ເພງຊາດ	国歌
ຄຳກຳມະ	動詞
ພາສາແຟໂລ	フェロー語
ສັດກິນຊີ້ນ	ネコ目
ເກາະຊີແລນ	シェラン島
ເຮືອຂ້າມຟາກ	フェリー
ປະດິດໃຊ້ເອງ	DIY
ເສັ້ນຜົມ	毛 (動物)
ວິຊາຊີບ	専門職
ສິນຄ້າ	財
ຜົນຕຳລາ	微分法
ບລອກ	ブログ
ນົກແກ້ວ	オウム目
ຊື່ໂດເມນ	ドメイン名
ມ້າລາຍ	シマウマ
ເລກມາຕະຖານສາກົນປະຈຳປຶ້ມ	ISBN
ພາສາຈາໂມໂລ	チャモロ語
ພາສາເຈໂລກີ	チェロキー語
ຈິຕະນິຍົມ	観念論
ຫົວສີໄຄ	レモングラス
ເສັ້ນຂະໜານ	緯度
ໝວດ:ພາສາໂປແກມ	Category:プログラミング言語
ຈັດສະຕິນ ບີເບີ	ジャスティン・ビーバー
ກຸ່ມພາສາໄທ-ກະໄດ	タイ・カダイ語族
ເນີຍ	バター
ເທວະວິທະຍາ	神学
ນ້ຳຕົກຕາດນີອາກາລາ	ナイアガラの滝
ໂຫລາສາດ	占星術
ຫົງ	ハクチョウ属
ຫົນທາງ	道路
ເຮລີກົບແຕ	ヘリコプター
ລົດຈັກ	オートバイ
ມ້າແມ່ນ້ຳ	カバ
ສັງຄົມສາດ	社会科学
ແຫຼມ	半島
ລະຫັດໂທລະສັບລະຫວ່າງປະເທດ	国際電話番号の一覧
ຟົວກາ	フォアグラ
ມົນທົນ	プロヴィンス
ໝາກຫຸ່ງ	パパイア
ວິຕາມິນ	ビタミン
ເວັບໄຊຕ໌	ウェブサイト
ກວາງອູດ	ヘラジカ
ເສືອອາເມລິກາ	ジャガー
ສະພາ	議会
ສະພາວະເງິນເຟີ້	インフレーション
ເຮືອ	ボート
ໂປລີເນຊີ	ポリネシア
ດຽນບຽນຟູ	ディエンビエンフー
ໝີໄຮ້ຫາງ	コアラ
ເສັ້ນແວງ	経度
ສະຫັດສະວັດ	ミレニアム
ຊ້າງຂົນຍາວ	マンモス
ອອງ ຊານ ຊຸຈີ	アウンサンスーチー
ໄຂ້ຫວັດຫມູ	豚インフルエンザ
ເສິນຫຼົງ	ジャッキー・チェン
ເອກະລາດ	独立
ມະຣິວຸລ	マリウポリ
ມະຫາປີລະມິດ ແຫ່ງ ກິຊາ	ギザの大ピラミッド
ISO 4217	ISO 4217
ຕະຫຼາດ	市場
ກະໂລໂມຊົມ	染色体
ມັນດ້າງ	サツマイモ
ພະຍັນຊະນະ	子音
ນ້ຳຕົກຕາດຄອນພະເພັງ	コーンパペンの滝
ຟີລຳ	門 (分類学)
ພະເຈົ້າຮົງລີທີ 8 ແຫ່ງອັງກິດ	ヘンリー8世 (イングランド王)
ຂ່າວ	ニュース
ດັດສະນີການພັດທະນາມະນຸດ	人間開発指数
ເສດຖະສາດຈຸນລະພາກ	ミクロ経済学
ສັດລ້ຽງ	ペット
ເລເຈບ ໄຕຢິບ ແອໂດກັນ	レジェップ・タイイップ・エルドアン
ນໍ້າມັນເຊື້ອໄຟ	ガソリン
ເສດຖະສາດມະຫາພາກ	マクロ経済学
ສະໜວນກາຊາ	ガザ地区
ເຄື່ອງດື່ມ	飲料
ປະໂລກະລຳ ແອງຟອກມາຕິກ	プログラム (コンピュータ)
ຍານອາວະກາດ	宇宙機
ເຈັນນິເຟີຣ໌ ໂລເປສ	ジェニファー・ロペス
ມີດຕັດ	はさみ
ຊ້າງທະເລ	セイウチ
ຕຶກ	建築物
ແມ່ນ້ຳຂອງ	メコン川
ວາລະສານ	雑誌
ສານ	裁判所
Rupiah ອິນໂດເນເຊຍ	ルピア
ປະໂຫຍກ	文
.la	.la
ສວນລອຍຟ້າບາບິລອນ	バビロンの空中庭園
ໝາແຜງ	ハイエナ
ພິ່ນອິ່ນ	ピン音
ເຊື້ອໄຟ	燃料
ອູດແກະໃຫຍ່	リャマ
ຄວາຍ	スイギュウ
Long Thanh International Airport	ロンタイン国際空港
ຍານພາຫະນະ	乗り物
ນ້ຳມັນ	油
ວິນຍານນິຍົມ	アニミズム
ບໍລິການຂໍ້ຄວາມສັ້ນ	ショートメッセージサービス
ເຮືອນຄົວ	台所
ຮັກຮ່ວມສອງເພດ	両性愛
ເອສົບ	アイソーポス
ສິ່ງແວດລ້ອມ	自然環境
ໂກແລສະເຕໂລນ	コレステロール
ສະຫະພັນທະລັດ	連邦
ໄຂ້ຫວັດນົກ	鳥インフルエンザ
ມາຕຣິກ	行列
ຕຳນານ	伝説
ເທວາທິປະໄຕ	神権政治
ຂົວໂກນເດນເກດ	ゴールデンゲートブリッジ
ໝາກສຸກ ໝາກໃສ	水痘
ທ່າເຮືອ	港湾
Vaishnavism	ヴィシュヌ派
ໝາກມີ້	パラミツ
ທຸງຊາດລາວ	ラオスの国旗
ໃບສະຫຼຸບຊັບສົມບັດ	貸借対照表
ສາຍການບິນ	航空会社
ເສດຖະສາດສາກົນ	国際経済学
ວັນກຳມະກອນສາກົນ	メーデー
ລາດາ	レーダー
ແມ່ແບບ:Commonscat	Template:Commonscat
ຈັກກະວັດແອສະປາຍ	帝国
ມະຫາຍານ	大乗仏教
ກະສວຍອາວະກາດ	スペースシャトル
ການທ່ອງທ່ຽວ	観光
ຕູ້ໄປສະນີ	郵便ポスト
Visual Basic .NET	Microsoft Visual Basic .NET
ແຂວງ	ラオスの地方行政区画
ຕຳລາຂັ້ນສອງ	二次関数
ອີໂບລາ	エボラ出血熱
ໝວດ:ລັດຖະບານ	Category:政府
ໝວດ:ຄວາມຮັກ	Category:愛
ສະຖານີລົດໄຟ	鉄道駅
ພາສາໂຮປີ	ホピ語
ພາສາເຮົາຊາ	ハウサ語
ພາສາໄທເໜືອ	シャン語
ຈູມມະລີ ໄຊຍະສອນ	チュンマリー・サイニャソーン
ຫງວຽນເຕິນຢຸງ	グエン・タン・ズン
ຍິ່ງລັກ ຊິນນະວັດ	インラック・シナワトラ
ທອງສິງ ທຳມະວົງ	トーンシン・タムマヴォン
ກ້ອງດິຈິຕອນ	デジタルカメラ
ອັດຕາແລກປ່ຽນ	為替レート
ທະນາຄານກາງ	中央銀行
ການຜັງເມືອງ	都市計画
ຮອບບິດ (ປຶ້ມ)	ホビットの冒険
ຄະນາທິປະໄຕ	寡頭制
Current events	Wikipedia:発表
ບານເຕະໂລກ 2014	2014 FIFAワールドカップ
ການແຍກໃຊ້ອຳນາດ	権力分立
ໝາກກ້ຽງໃຫຍ່	ブンタン
ວົງຈອນພອນ	マングース科
ໄຟຟ້າພະລັງນໍ້າ	水力発電
ວິສະວະກຳໂລຊີຊີແອນ	ソフトウェア工学
ອູດແກະ	アルパカ
ຄວາມກົດອາກາດ	気圧
ບ່ວງ	スプーン
VoIP	VoIP
ໄມ້ຖູ່	箸
ກຳລັງຊື້ທຽບຖານ	購買力平価説
ເຄື່ອງໝາຍວັກ	句読点
ຕັກຊີ	タクシー
ຄຳອຸທານ	感動詞
ພຽງພອນເໝັນ	スカンク
ເຊລີນ້າ ໂກເມຊ	セレーナ・ゴメス
ໂຮງງານ	工場
ບານເຕະທີມຊາດບະເລຊິນ	サッカーブラジル代表
ບານໂປໂລຍ	ポーランドボール
ຕຳລາໄຕມຸມ	三角関数
ຄຣິສຕະຈັກເຊເວັນເດ ແອັດເວັນຕິສ	セブンスデー・アドベンチスト教会
PAL	PAL
ອຳນາດຕຸລາການ	司法
ຄວາມສະເໝີພາກທາງເພດ	男女同権
ເຂົ້າຫນຽວ	もち米
ລັດທິ	ドクトリン
ກະລັງກັງຢົງ	グランド・キャニオン
ແມ່ນ້ຳເຈົ້າພະຍາ	チャオプラヤー川
ຊຸບເປີຄອມພິວເຕີ	スーパーコンピュータ
ໂຄງສ້າງພື້ນຖານ	インフラストラクチャー
ໜູລ້າງນ້ຳ	アライグマ
ຕົ້ນໂຣສ ເມຣີ	ローズマリー
ປະເທດທີ່ບໍ່ມີທາງອອກສູ່ທະເລ	内陸国
ເວັກເຕີ	ベクトル空間
ປຶ້ມເອເລັກໂຕຣນິກ	電子書籍
ພາສີມູນຄ່າເພີ່ມ	消費税
ພະເຈົ້າເອດູອາກທີ 3 ແຫ່ງອັງກິດ	エドワード3世 (イングランド王)
